file_path,label
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\100648-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\100648-1-1-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\100648-1-2-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\100648-1-3-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\100648-1-4-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\107090-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\107090-1-1-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\117536-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\118070-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\118496-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\118496-1-1-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\121299-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\125520-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\125520-1-1-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\125520-1-2-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\125520-1-3-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\125520-1-4-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\128465-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\128465-1-0-2.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\128465-1-0-3.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\128465-1-0-4.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\128465-1-0-5.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\128465-1-0-6.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\128465-1-0-7.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\128465-1-0-8.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\132073-1-0-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\132073-1-1-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\132073-1-2-0.wav,1
C:/Users/nikha/OneDrive/Desktop/dev/ML/dataset/data/Noise\Car_Horns\132073-1-3-0.wav,1
